epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1212.8,0.27602,0.19862,0.75802,0.9273,0.92312,0.9644,0.81967,0.4941,0.35259,0.80011,0.003581,0.003581,0.003581
45,1238.04,0.27713,0.1998,0.75769,0.91508,0.93351,0.96595,0.81023,0.50547,0.349,0.80112,0.003548,0.003548,0.003548
46,1262.98,0.26244,0.18924,0.75676,0.93569,0.92534,0.96689,0.81869,0.49904,0.34804,0.79942,0.003515,0.003515,0.003515
47,1290.25,0.25463,0.1863,0.75566,0.93209,0.92296,0.96286,0.81286,0.50749,0.35274,0.80142,0.003482,0.003482,0.003482
48,1315.92,0.25605,0.18612,0.75541,0.91425,0.93487,0.96297,0.82145,0.4955,0.35626,0.79943,0.003449,0.003449,0.003449
49,1342.71,0.26445,0.18874,0.75589,0.92122,0.93436,0.96239,0.81791,0.48558,0.34769,0.79911,0.003416,0.003416,0.003416
50,1368.62,0.26208,0.18836,0.75494,0.93855,0.91193,0.96249,0.82026,0.50146,0.35101,0.80114,0.003383,0.003383,0.003383
51,1394.59,0.24339,0.17922,0.75448,0.92864,0.9286,0.96459,0.82203,0.48251,0.35724,0.7978,0.00335,0.00335,0.00335
52,1420.4,0.24361,0.18026,0.75449,0.93166,0.93103,0.96588,0.82324,0.47549,0.34266,0.79718,0.003317,0.003317,0.003317
53,1446.19,0.23384,0.17463,0.75381,0.91567,0.93855,0.96301,0.81928,0.49592,0.35081,0.79976,0.003284,0.003284,0.003284
54,1473.9,0.23504,0.17552,0.7541,0.91356,0.9366,0.96005,0.81877,0.48465,0.359,0.79869,0.003251,0.003251,0.003251
55,1502.17,0.23463,0.17461,0.75421,0.92839,0.93587,0.96577,0.82644,0.47748,0.33769,0.79782,0.003218,0.003218,0.003218
56,1527.97,0.22474,0.16833,0.75287,0.92648,0.92637,0.96313,0.81876,0.49044,0.34952,0.79848,0.003185,0.003185,0.003185
57,1553.45,0.23355,0.17208,0.75386,0.92638,0.93545,0.96515,0.82479,0.47745,0.33865,0.79672,0.003152,0.003152,0.003152
58,1579.71,0.23666,0.17265,0.75391,0.9262,0.93269,0.9633,0.82342,0.48125,0.34238,0.79866,0.003119,0.003119,0.003119
59,1606.31,0.24994,0.17746,0.75434,0.92052,0.92321,0.95923,0.81626,0.48579,0.35323,0.79915,0.003086,0.003086,0.003086
60,1633.23,0.24221,0.17394,0.75389,0.91942,0.93889,0.96596,0.8239,0.48523,0.33972,0.79816,0.003053,0.003053,0.003053
