epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.7973,0.51808,0.77692,0.79022,0.76188,0.71905,0.79174,0.53809,0.96606,1.18816,0.96046,0.0007294,0.0007294,0.0007294
43,48.9311,0.48629,0.74857,0.78349,0.75866,0.7356,0.78486,0.54833,0.94703,1.16491,0.94832,0.0007228,0.0007228,0.0007228
44,50.011,0.46429,0.73802,0.7828,0.75866,0.7356,0.78486,0.54833,0.94703,1.16491,0.94832,0.0007162,0.0007162,0.0007162
45,51.1118,0.46856,0.73375,0.78104,0.65156,0.75188,0.78828,0.56477,0.90143,1.12649,0.92337,0.0007096,0.0007096,0.0007096
46,52.2495,0.45244,0.71619,0.78006,0.60276,0.80104,0.80037,0.56434,0.90946,1.09665,0.92452,0.000703,0.000703,0.000703
47,53.392,0.43596,0.69182,0.77805,0.60276,0.80104,0.80037,0.56434,0.90946,1.09665,0.92452,0.0006964,0.0006964,0.0006964
48,54.5119,0.42843,0.67697,0.7729,0.64967,0.72585,0.79602,0.56143,0.91896,1.07645,0.93357,0.0006898,0.0006898,0.0006898
49,55.5828,0.40844,0.66001,0.7707,0.66982,0.71499,0.78921,0.54517,0.94294,1.08084,0.94808,0.0006832,0.0006832,0.0006832
50,56.6441,0.42211,0.68238,0.77728,0.66982,0.71499,0.78921,0.54517,0.94294,1.08084,0.94808,0.0006766,0.0006766,0.0006766
51,57.6989,0.40914,0.65712,0.76909,0.65293,0.71592,0.75837,0.5229,0.91249,1.05858,0.93426,0.00067,0.00067,0.00067
52,58.7591,0.40154,0.65698,0.77445,0.63605,0.79114,0.75708,0.5271,0.90586,1.04695,0.92885,0.0006634,0.0006634,0.0006634
53,59.8388,0.39523,0.63891,0.77024,0.63605,0.79114,0.75708,0.5271,0.90586,1.04695,0.92885,0.0006568,0.0006568,0.0006568
54,60.885,0.40937,0.65779,0.77656,0.67068,0.78783,0.77699,0.53487,0.89341,1.05147,0.91851,0.0006502,0.0006502,0.0006502
55,61.9268,0.36436,0.6048,0.76542,0.69043,0.78233,0.78826,0.5369,0.92457,1.06378,0.93,0.0006436,0.0006436,0.0006436
56,62.9405,0.36896,0.58522,0.76462,0.69043,0.78233,0.78826,0.5369,0.92457,1.06378,0.93,0.000637,0.000637,0.000637
57,63.9781,0.39094,0.59452,0.7721,0.76178,0.78345,0.798,0.55033,0.89568,1.0455,0.91971,0.0006304,0.0006304,0.0006304
58,64.9998,0.3534,0.57502,0.76333,0.74869,0.76881,0.80797,0.56019,0.86342,1.04662,0.91041,0.0006238,0.0006238,0.0006238
59,66.0406,0.37328,0.57365,0.76733,0.74869,0.76881,0.80797,0.56019,0.86342,1.04662,0.91041,0.0006172,0.0006172,0.0006172
60,67.0682,0.346,0.54983,0.75948,0.71241,0.76344,0.81001,0.55556,0.90197,1.05808,0.92157,0.0006106,0.0006106,0.0006106
